id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,log_trip_duration,dist,pickup_hour,dropoff_hour,dayofweek,speed
id2875421,B,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.98215484619139,40.76793670654297,-73.96463012695312,40.765602111816406,N,455,6.12029741895095,0.017679539499584833,17,17,0,3.8856130768318315e-05
id3194108,A,2016-06-01 11:48:41,2016-06-01 12:19:07,1,-74.0050277709961,40.74645233154297,-73.97200775146483,40.74578094482422,N,1826,7.509883061154913,0.03302684438409434,11,12,2,1.8086990352735125e-05
id3564028,A,2016-01-02 01:16:42,2016-01-02 01:19:56,1,-73.95413208007811,40.774784088134766,-73.94741821289062,40.779632568359375,N,194,5.267858159063328,0.008281532050268629,1,1,5,4.268830953746716e-05
id1660823,B,2016-03-01 06:40:18,2016-03-01 07:01:37,5,-73.98213958740233,40.77532577514648,-74.00984954833984,40.72169876098633,N,1279,7.153833801578843,0.06036305644093414,6,7,1,4.719550933614867e-05
id1575277,B,2016-06-11 16:59:15,2016-06-11 17:33:27,1,-73.99922943115233,40.72288131713867,-73.98287963867188,40.778297424316406,N,2052,7.62657020629066,0.05777768296572709,16,17,5,2.8156765577839712e-05
id1287069,A,2016-01-12 14:32:54,2016-01-12 14:52:01,2,-73.98944854736328,40.74169921875,-73.98248291015625,40.76763153076172,N,1147,7.044905117129371,0.026851534555274687,14,14,1,2.341023064975997e-05
id3129705,B,2016-01-06 00:20:48,2016-01-06 00:24:43,1,-73.97271728515625,40.7493896484375,-73.9671173095703,40.75661849975586,N,235,5.459585514144159,0.009144179457239523,0,0,2,3.89114019457001e-05
id3617577,B,2016-03-26 18:27:52,2016-03-26 18:33:53,5,-73.95482635498048,40.7674217224121,-73.96992492675781,40.76230239868164,N,361,5.8888779583328805,0.015942846206761195,18,18,5,4.4163008882995e-05
id0183040,B,2016-06-04 23:41:59,2016-06-04 23:50:08,2,-73.99432373046875,40.7506217956543,-73.98596954345702,40.76775360107422,N,489,6.192362489474872,0.019060199305701717,23,23,5,3.897791269059656e-05
id0060684,B,2016-01-11 09:11:15,2016-01-11 09:21:20,6,-73.98967742919923,40.7567253112793,-73.99462890625,40.75049209594727,N,605,6.405228458030842,0.007960533798662846,9,9,0,1.3157907105227846e-05
id1963642,A,2016-03-29 14:46:36,2016-03-29 15:06:37,1,-73.98217010498048,40.76074600219727,-73.95244598388672,40.77218627929688,N,1201,7.0909098220799835,0.03184969881980998,14,15,1,2.651931625296418e-05
id0231867,A,2016-05-15 18:19:54,2016-05-15 18:24:18,2,-73.9518051147461,40.781936645507805,-73.94275665283203,40.7860221862793,N,264,5.575949103146316,0.009928056527123464,18,18,6,3.7606274723952516e-05
